valor,hora,dia_semana,categoria,is_fraude
1326.8953165508744,13,3,B,1
190.17328427618548,20,5,B,0
101.62071673681079,4,1,B,1
114.43010424887393,2,0,C,0
419.34669323358963,17,4,A,0
452.6070313772585,23,5,B,0
1669.3158364020123,16,3,B,0
529.4704974701328,17,2,C,0
690.9652234973934,0,1,D,0
530.0370640827607,16,6,D,0
688.5975610649492,8,4,B,0
1626.0448764128068,7,2,A,0
4.211838851152887,23,3,B,0
56.27334652205681,12,3,D,0
177.4124095017656,0,3,A,1
534.1548181034525,3,1,A,0
829.8725637917986,2,2,B,1
1028.550143142787,23,2,C,1
1671.194461050697,16,1,A,1
643.1075076170268,3,1,D,0
514.2754531752942,0,2,C,0
631.9562838776934,9,6,B,0
315.17916386791376,5,3,B,0
196.9545762076248,2,5,C,1
289.59203209916797,19,4,D,1
654.0912185607741,11,3,C,0
2559.214876359283,16,2,B,1
564.856023476879,21,0,B,0
782.286095240241,7,3,C,0
93.71585035901916,1,6,A,1
13.608151051110395,22,3,B,0
805.6454238430587,21,4,A,1
1170.2605146417447,21,0,A,0
12.492885623584312,19,0,D,0
338.38827521712574,2,5,B,0
373.54321498988935,5,6,D,1
453.62338902058536,23,6,A,0
26.67799704137818,12,1,B,0
1127.3239703341876,15,5,C,0
651.466147987805,18,0,C,0
852.8367915087288,3,5,A,1
346.7963927479881,22,2,D,1
830.8642962417957,19,5,B,0
50.445551270902854,23,1,B,1
123.55808334826715,1,4,B,0
149.6877957001938,18,2,B,0
315.655297513396,16,3,C,0
307.5130383187192,14,1,A,0
618.0926850349597,19,6,B,0
98.03968502418809,18,0,B,0
379.05610630379203,3,3,A,1
91.80653248775351,7,6,D,1
732.2661723566115,15,5,A,0
1316.7303537881116,23,0,B,1
470.15553455030494,10,3,D,0
81.3674144417037,14,6,D,0
336.30643373496446,12,6,A,0
236.8813057543327,16,2,C,0
943.9196320817424,4,2,D,1
1210.1059814756218,23,1,B,1
242.1313815311015,6,5,C,0
189.5303247297258,16,0,D,0
420.12124897497296,16,1,D,0
104.0154345642052,3,4,D,0
67.24680989538541,2,5,C,1
581.7287164760638,11,1,B,0
803.7367165124758,22,3,B,0
426.1143244497714,20,5,A,0
1810.2363670471505,17,5,C,0
502.63526401623625,20,0,D,1
1096.5144573770092,5,1,C,1
342.00924581615084,22,0,B,0
216.63649139938644,11,1,D,0
626.284638580284,19,1,B,0
350.5182260403295,16,0,A,0
127.85765316910208,0,3,A,0
140.5018381609298,12,3,B,0
787.0370736101158,4,0,D,1
341.7691614380512,11,3,D,1
1233.1033350908883,18,1,C,1
1453.6028330739948,19,6,C,1
380.9617123867278,21,1,D,0
145.5055334098913,2,3,D,1
